Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
268,JJ Redick,36,NOP,SG,31,0,18.6,2.8,6.9,.407,1.6,4.5,.364,1.2,2.4,.486,.526,1.5,1.5,.957,0.1,1.6,1.7,1.3,0.3,0.1,0.8,1.2,8.7,,redicjj01
268,JJ Redick,36,DAL,SG,13,0,11.3,1.5,4.1,.358,1.2,2.9,.395,0.3,1.2,.267,.500,0.3,0.4,.800,0.1,0.8,0.9,0.8,0.2,0.1,0.8,1.0,4.4,,redicjj01
269,Jalen Harris,22,TOR,SG,13,2,13.2,2.8,5.5,.500,1.3,2.8,.472,1.5,2.8,.528,.618,0.5,0.7,.778,0.2,1.2,1.4,1.3,0.6,0.0,1.1,1.2,7.4,,harrija01
270,Jalen McDaniels,23,CHO,SF,47,18,19.2,2.8,6.0,.468,0.7,2.2,.333,2.1,3.8,.547,.530,1.0,1.4,.703,1.0,2.6,3.6,1.1,0.6,0.4,1.0,2.0,7.4,,mcdanja01
271,JaVale McGee,33,2TM,C,46,2,14.7,3.1,6.1,.511,0.1,0.5,.208,3.0,5.6,.539,.520,1.0,1.5,.657,1.7,3.5,5.2,0.8,0.4,1.2,1.3,2.6,7.3,,mcgeeja01
271,JaVale McGee,33,CLE,C,33,1,15.2,3.4,6.5,.521,0.2,0.6,.250,3.2,5.9,.549,.533,1.1,1.7,.655,1.6,3.5,5.2,1.0,0.5,1.2,1.4,2.4,8.0,,mcgeeja01
271,JaVale McGee,33,DEN,C,13,1,13.5,2.5,5.2,.478,0.0,0.3,.000,2.5,4.8,.508,.478,0.6,0.9,.667,1.8,3.5,5.3,0.5,0.2,1.1,1.2,3.2,5.5,,mcgeeja01
272,Louis King,21,SAC,SF,6,1,14.2,2.8,5.7,.500,0.7,1.8,.364,2.2,3.8,.565,.559,1.0,1.0,1.000,0.8,2.2,3.0,1.5,1.2,0.5,0.7,1.5,7.3,,kinglo02
273,Khem Birch,28,2TM,C,67,22,22.8,2.8,5.7,.497,0.2,0.8,.250,2.6,4.9,.537,.514,1.4,1.9,.705,2.6,3.2,5.8,1.3,0.7,0.7,0.7,1.7,7.2,,birchkh01
273,Khem Birch,28,ORL,C,48,5,19.8,2.0,4.4,.450,0.1,0.4,.190,1.9,3.9,.479,.459,1.3,1.8,.741,2.4,2.6,5.1,1.1,0.7,0.6,0.5,1.4,5.3,,birchkh01
273,Khem Birch,28,TOR,C,19,17,30.4,5.0,9.0,.556,0.5,1.6,.290,4.5,7.4,.614,.582,1.5,2.3,.636,3.0,4.6,7.6,1.9,0.8,1.2,1.1,2.4,11.9,,birchkh01
274,James Johnson,33,2TM,PF,51,12,20.5,2.9,6.4,.446,0.6,2.4,.258,2.3,4.1,.556,.494,0.9,1.5,.592,0.6,2.8,3.5,1.9,0.8,0.8,1.1,2.4,7.2,,johnsja01
274,James Johnson,33,DAL,PF,29,1,17.4,2.3,5.0,.462,0.5,2.1,.250,1.8,2.9,.612,.514,0.6,1.0,.586,0.5,2.5,3.0,1.7,0.8,0.8,0.9,2.0,5.7,,johnsja01
274,James Johnson,33,NOP,PF,22,11,24.5,3.6,8.3,.434,0.7,2.7,.267,2.9,5.5,.516,.478,1.3,2.1,.596,0.8,3.3,4.1,2.2,0.8,0.9,1.3,2.8,9.2,,johnsja01
275,Justin Jackson,25,2TM,SF,34,3,17.0,2.6,6.5,.403,1.1,3.4,.308,1.6,3.1,.510,.484,0.9,1.1,.838,0.5,1.8,2.3,1.5,0.4,0.1,0.9,0.9,7.2,,jacksju01
